sample	Bcell_to_Bcell_median	Bcell_to_CD4_Tcell_median	Bcell_to_Macrophage_median	Bcell_to_Treg_median	Bcell_to_CD8_Tcell_median	Bcell_to_tumor_median	Bcell_to_negative_median	CD4_Tcell_to_Bcell_median	CD4_Tcell_to_CD4_Tcell_median	CD4_Tcell_to_Macrophage_median	CD4_Tcell_to_Treg_median	CD4_Tcell_to_CD8_Tcell_median	CD4_Tcell_to_tumor_median	CD4_Tcell_to_negative_median	Macrophage_to_Bcell_median	Macrophage_to_CD4_Tcell_median	Macrophage_to_Macrophage_median	Macrophage_to_Treg_median	Macrophage_to_CD8_Tcell_median	Macrophage_to_tumor_median	Macrophage_to_negative_median	Treg_to_Bcell_median	Treg_to_CD4_Tcell_median	Treg_to_Macrophage_median	Treg_to_Treg_median	Treg_to_CD8_Tcell_median	Treg_to_tumor_median	Treg_to_negative_median	CD8_Tcell_to_Bcell_median	CD8_Tcell_to_CD4_Tcell_median	CD8_Tcell_to_Macrophage_median	CD8_Tcell_to_Treg_median	CD8_Tcell_to_CD8_Tcell_median	CD8_Tcell_to_tumor_median	CD8_Tcell_to_negative_median	tumor_to_Bcell_median	tumor_to_CD4_Tcell_median	tumor_to_Macrophage_median	tumor_to_Treg_median	tumor_to_CD8_Tcell_median	tumor_to_tumor_median	tumor_to_negative_median	negative_to_Bcell_median	negative_to_CD4_Tcell_median	negative_to_Macrophage_median	negative_to_Treg_median	negative_to_CD8_Tcell_median	negative_to_tumor_median	negative_to_negative_median	sample_type	pt_number
1 TUR	13.273730821992672	58.74362959628421	22.924326417024027	64.66606843543096	42.50298968036415	8.736812415827256	9.464795072505645	119.20172964040104	24.091505671569053	24.220130444290298	57.689159605355115	39.31027770435809	8.3111483197329	14.771790289013843	111.98674676602005	48.8362500338107	13.436031094471142	58.47500031441837	50.438391490096926	9.264826911041293	12.89164164883102	126.52350517991432	44.14292762408067	23.804704011110225	29.601014601194496	44.94608215547735	8.39658624226197	13.932461507510823	109.90392558151525	37.18836017841773	23.79364177905841	50.738313619345014	22.946578845760428	8.51806482184395	14.799560100328007	130.55955599971963	51.21578213158703	27.62505223387054	58.263300306325895	54.50322102567037	8.745522176178731	19.8364816257583	104.28802536337889	58.6901084629156	26.730543238132157	64.51115692685254	57.765982733870715	10.8976579088669		TUR	1
10 TUR	19.608433090880137	15.975163531619028	32.456852612090024	28.75679625226262	9.623499979589383	57.27240345258553	13.972806507734806	76.86240227698096	14.080514051474408	45.247072533855615	33.6093890997007	17.358578841221973	39.659547815237055	11.577651075960254	136.259139429077	35.09721017286074	10.433131094178309	41.60164606131699	27.431879264720802	16.734021166619495	16.22851452657088	82.1795380729046	18.307955700365138	41.71132945623139	29.1953265470555	17.370061926081164	31.905823142301482	12.350395363874854	60.23421126259697	19.44390111467617	40.04539503792396	33.76604775960594	8.238685407532307	34.16619396781118	14.01704177072736	210.0026642373224	93.54781976545648	106.72617088218297	127.58180044471727	68.95451544497557	8.42135507624183	75.92878941489785	119.3244805626771	27.12394460306146	61.124789461621006	46.27066465255159	30.05562911208484	31.434509516844706		TUR	10
102 TUR	82.21689453689856	34.3343477427436	12.582779867355859	36.36325665301089	26.277840358671924	25.223047908875824	14.05735625367639	150.39627423580689	35.28541026567419	15.78046383985605	32.81966486511958	31.888062828357548	19.523399920199715	14.646956959002777	180.93755652400475	74.73118324435396	14.33365007315215	48.81817528456397	51.738473431794674	15.097388315851797	16.995699234749047	173.82664863769315	53.97845544402105	15.931656447721238	32.69418949885424	38.384513272362746	15.361253637894002	15.463796364703528	161.31560596071424	48.12177665401073	16.078010395836735	35.13249200283618	25.20547325484704	14.503620761381883	16.908310684798337	225.30982299238158	134.0155641913212	33.88175861803521	89.4492318665829	91.97214748039829	11.60294028028167	33.44979339526613	198.91921153653163	84.72752898200893	21.10144972883663	56.68385022401331	60.71412443326241	17.29958227398941		TUR	102
103 TUR	10.20011349235218	16.85100683941519	19.051411264053666	24.54580855882342	25.63666329329837	20.799646814976622	11.687384140055716	53.16907216204774	16.41953929109349	17.710529038832632	27.30263507387327	24.61326619036156	16.02278184742005	10.652026309656177	88.50711300676963	28.549001016047715	12.730502477056183	35.65530747550396	26.436994839556974	12.48817369814017	12.060826722863867	63.21702198036432	21.295424701754392	17.638497651227343	24.535777226414883	29.459149251077687	13.33545347134099	11.183134916889465	90.64774941229176	29.795614494652085	20.62446263545752	41.95587835249796	18.410317040053776	10.834586030934377	14.687230647199117	132.20747582276118	54.099247529363716	32.98830429654573	55.38253159169172	39.510930085472275	10.329849662276182	32.797903216584025	73.92070067381205	24.57332581839412	19.93950973628828	33.658600379016605	29.280695532062083	17.367609131857197		TUR	103
11 TUR	15.93613756586727	15.005652901774708	63.426022909868244	79.47201886817132	44.60863461595418	18.575069348924373	10.014210130653115	102.06835429747072	13.78337026619533	61.10274396162318	125.09971975769983	41.42836045049855	14.39143587849438	11.053424294632602	159.85736468616471	36.35182930903042	31.57538614908142	143.95544609518385	45.05170451408535	12.903894235719253	20.620355310310206	105.26675727705812	18.729469532592542	47.13526561391473	68.40665240816001	54.46918764679676	11.541302537492864	14.158086403922526	125.7959270661272	25.03737826074009	43.09035595075233	151.28231071382177	27.740051879091244	11.796586284920892	16.146670072970323	182.6585520383796	53.024625119320646	64.86603924386405	154.00697517961416	71.33473771969899	10.820911125441674	24.160753087737273	137.21998059255833	31.78342844744048	76.60964319029188	130.90541371017372	65.74391663624625	17.02268376368591		TUR	11
12 TUR	9.647163440396675	18.276166193305322	25.072831323170814	43.69314061305773	26.469809280203375	20.60527448951814	10.335830827871986	50.14598615302866	19.73303566162404	35.72719849911506	60.888473889061636	37.153027002527836	10.503596623840208	9.760564748163263	97.05383734072899	51.94646023241272	13.717885095115404	73.23546422407598	53.06892665395015	10.516456558292381	10.797597109689885	75.79177938112318	29.738820568715326	32.93083035437091	45.03984852366471	43.53710680062718	8.926970180251958	10.85750628527966	51.36531242062286	27.93863869422882	31.30749334230442	60.95590926647866	21.956289425320566	11.962932861438375	9.919293238637813	193.00020257595548	79.39326660017049	67.38042074835646	116.35237077517885	101.09914528995492	7.503993232787679	11.015901483743596	167.5082217529324	80.60313947953341	62.638342389475575	124.19320705162012	99.06762442197875	9.234606597413242		TUR	12
13 TUR	6.943720710860201	15.406509075311309	49.1098645899883	53.48878028434899	15.810084526795002	13.980217669778257	46.20824570296982	39.079239931838934	17.70382415565186	51.89694056572153	43.26156325127497	21.30887500815096	8.96849809601979	20.846528223811912	99.37430790250028	53.88730447281376	27.35817531588616	62.24478815642805	34.88493853573908	9.475914395060203	20.254813267814477	100.17684303043777	39.56609595597135	56.572713212322704	39.743104918839	31.906659137942647	8.456525072470576	20.859491372177374	46.46736768735635	31.842215523515172	47.23273452597487	47.763043000795356	13.029676414464934	8.830149503948446	24.724524928275635	168.5164385095254	86.46108433153188	80.95703727579583	85.95673887873643	58.39666186609589	8.769874357751947	50.49228371217357	146.68658110101163	66.648324157848	61.92168720667282	73.99712175214616	49.606798109116504	15.053158180391595		TUR	13
14 TUR	10.787146109938062	53.282860295053474	128.34894402919886	72.28307558896307	60.05340707664874	10.202690294551793	15.305192253758966	77.96473052156767	22.11429179778706	66.55302491603796	38.38034178564395	58.55204695803215	22.354399512126758	9.582525047147229	93.95480941280876	37.1860491899619	38.05919247575668	50.09687886280245	67.96022184917142	11.90651293009528	10.266724192946361	81.74631819075604	32.23042573680838	79.10441698501039	31.064262094688583	69.38976213252504	26.659175600238523	9.400148483616693	60.87221628314125	35.03006035011087	70.72356274567572	45.7962938062073	9.816007036621393	18.28653113334226	11.164510795947207	97.27375985221853	68.44672857570572	123.71556316728825	90.02215416965444	104.89128249069891	8.678584647112244	21.615579637317474	117.99235236179193	67.12475871092565	132.00781512483977	76.88729048995914	111.70582258210905	33.567611662042005		TUR	14
15 TUR							8.702540781052157		250.08560549942106			138.84825198742132	13.089497877057498	84.33032640875267						8.61297957341769									317.9787669384228	160.3226439868525			128.4617827439134	9.957717484981089	40.597256718658954	223.99836283754803	132.80855880558448	206.77405026988396	231.35780499558967	107.19352903596433	7.450620053840286	78.06951476568783	148.8220488623568	66.50492216186827	152.29146313365462	138.82911983826432	46.93161609430898	22.405840554899353		TUR	15
16 TUR	7.377469017823182	20.450539333623922	12.140557218022566	36.44056874268785	13.408554793674755	19.067492371992564	11.238629362705558	84.5753354816063	63.06590018774907	23.24526018122516	77.11032878606242	17.91009195694717	11.529764428317591	17.671428236481376	58.503495145764234	58.73074115165628	13.826822636890398	63.23901445455986	22.126727651163463	9.876591753358106	15.569358211558143	207.60339035852564	131.14822619053712	28.924723750760542	125.98323005035817	32.93812335279543	9.801728283301857	19.27708671794447	52.714395127325744	45.26740711560985	15.295342834303819	64.54959554748231	10.994079467506037	11.94948722599757	12.340055687725867	183.3461090380193	130.15969755508254	58.56995515632994	150.57403930697885	76.3651801663609	8.169077896031935	50.54056326877998	70.13859949202649	73.21774703968062	25.640725415782487	72.99110833541855	26.55394506640839	15.238384782114737		TUR	16
