	B_cells	CD4_Tcells	Macrophages	Tregs	CD8_Tcells	PanCK+_cells	Negative_cells	Total	non_panck	FoxP3_over_CD8	CD8_over_CD68	FoxP3_over_CD4	sample_type	pt_number
33 TUR	-1.6204714629342063	-1.252429784926469	-1.812760984069139	-1.6209259836265602	-0.9498452659672952	-0.5235977940813161	-0.3286467109194414	0.0	-0.154578620628001	-0.671080717659265	0.8629157181018439	-0.3684961987000913	TUR	33
33 Cystectomy	-1.2255139718863992	-0.99492427687281	-1.2402097176278666	-1.1110049943554747	-0.7878688955097566	-0.4857077135789753	-0.668261988873793	0.0	-0.1718530283629432	-0.3231360988457182	0.45234082211811	-0.1160807174826649	Cystectomy	33
34 TUR	-1.5552631418597904	-1.4041837464301068	-1.4988598432778764	-1.7963910728979005	-1.0430985475980412	-0.3301171594334276	-0.485556106993096	0.0	-0.2737632992702761	-0.7532925252998592	0.4557612956798351	-0.3922073264677936	TUR	34
34 Cystectomy	-2.6523821692393925	-1.996467129743196	-1.5803761191423338	-2.2188550407967744	-1.140648979244692	-0.1683864184663674	-0.6892844145519816	0.0	-0.4929366479496995	-1.0782060615520823	0.4397271398976419	-0.2223879110535784	Cystectomy	34
35 TUR	-3.2294332701720414	-2.291581176920886	-1.606783834126278	-1.6687816995946865	-1.697399344131691	-0.1987103815336018	-0.5297714636043092	0.0	-0.4351271142660137	0.0286176445370047	-0.0906155100054129	0.6227994773261998	TUR	35
35 Cystectomy	-2.635832388308495	-1.5333216794386502	-1.5506364966403965	-1.93846068891982	-1.4058790434024917	-0.224908034308534	-0.5321281275011435	0.0	-0.3933898451098563	-0.5325816455173281	0.1447574532379046	-0.4051390094811695	Cystectomy	35
36 TUR	-1.958814522769634	-1.8396109156095448	-1.2246195878368773	-1.9108267969049533	-1.3970914310644853	-0.2299573629733359	-0.5627533485068479	0.0	-0.3860502408427019	-0.5137353658404678	-0.1724718432276079	-0.0712158812954085	TUR	36
36 Cystectomy	-2.476968160986313	-1.768300588266815	-2.229505270335681	-2.142615313013004	-1.9731823576149972	-0.6013365149323686	-0.1515124562989092	0.0	-0.1251784323441534	-0.1694329553980067	0.2563229127206839	-0.3743147247461891	Cystectomy	36
37 TUR	-2.490882963564779	-2.3663894289246343	-1.9159034542334876	-3.05872885436164	-2.2231343550921263	-0.0716203253966467	-0.901235454678827	0.0	-0.8180535665268586	-0.8355944992695135	-0.3072309008586389	-0.6923394254370057	TUR	37
37 Cystectomy	-1.9631568622957447	-1.7166154664477182	-1.4501941910913354	-1.8993504778150747	-1.8269603557380765	-0.1110674212768486	-0.8773793702857553	0.0	-0.6465411648221222	-0.0723901220769981	-0.376766164646741	-0.1827350113673563	Cystectomy	37
39 TUR	-1.6429184772688377	-1.7992242266088947	-0.9747217815640444	-1.5168068102164838	-1.2228623903311668	-0.4678601771824258	-0.372002246748499	0.0	-0.1807921562113104	-0.2939444198853168	-0.2481406087671224	0.282417416392411	TUR	39
39 Cystectomy	-3.997288741579629	-2.690665179405185	-1.362724399818745	-2.771915635254944	-2.131475821959001	-0.2038001628727538	-0.494917265030397	0.0	-0.4265008486814214	-0.6404398132959428	-0.7687514221402559	-0.0812504558497584	Cystectomy	39
4 TUR	-1.7206198916537645	-1.7592492940098952	-2.272356135416413	-2.0038376675282743	-1.969383774530168	-0.1492662839448831	-0.641182046200209	0.0	-0.5363137256843782	-0.0344538929981061	0.3029723608862446	-0.244588373518379	TUR	4
4 Cystectomy	-2.1032930265392733	-1.6529060250668557	-1.031740737949658	-1.6645500062305632	-1.8255641082841427	-0.2596791211838915	-0.5359681339469977	0.0	-0.3466228635488226	0.1610141020535796	-0.7938233703344846	-0.0116439811637075	Cystectomy	4
41 TUR	-3.2045015191475565	-1.8765043855546768	-2.118865373606583	-2.0559567021523804	-1.4239816915073944	-0.0730658206398097	-1.060998802336239	0.0	-0.8100772014868914	-0.6319750106449862	0.6948836820991886	-0.1794523165977032	TUR	41
41 Cystectomy	-1.824075392411232	-1.8164958897017216	-2.093839198839408	-1.8921450500550496	-1.1354425365955167	-0.6135609372268761	-0.1991037039089143	0.0	-0.1211657264394663	-0.756702513459533	0.9583966622438912	-0.075649160353328	Cystectomy	41
42 TUR	-2.213206164876105	-1.4358809061484106	-1.7039423312071038	-1.6632169717455003	-1.8106227560970884	-0.1627646878356441	-0.6719054666746099	0.0	-0.5050608055188972	0.1474057843515882	-0.1066804248899847	-0.2273360655970897	TUR	42
42 Cystectomy	-2.0672003335224924	-1.8060982847584623	-2.2040382934305	-2.0405263058015306	-1.333219996618203	-0.449028513741239	-0.2530135007824626	0.0	-0.1908449636695848	-0.7073063091833278	0.8708182968122972	-0.2344280210430683	Cystectomy	42
43 TUR	-2.550325316264083	-1.5447995318603864	-2.038441955285209	-1.740273204204296	-2.365495442830743	-0.1762367119885951	-0.5675578411420671	0.0	-0.476808136838829	0.6252222386264469	-0.3270534875455341	-0.1954736723439094	TUR	43
43 Cystectomy	-2.23434059739068	-1.211811666351219	-2.664540032482561	-1.2367763552163835	-1.7176263247323595	-0.6077269884568421	-0.2169617387198114	0.0	-0.1230585323322556	0.480849969515976	0.9469137077502014	-0.0249646888651644	Cystectomy	43
44 TUR	-2.921024276842417	-1.944209011521166	-3.101654521918423	-2.536422575093749	-1.7490297768414362	-0.102537696643993	-0.7539583329681272	0.0	-0.6771590070168787	-0.7873927982523128	1.3526247450769868	-0.5922135635725829	TUR	44
44 Cystectomy	-3.090548677870069	-0.9072997132277674	-1.9841154969268129	-2.646953077859293	-2.043176731450984	-0.1412717350173203	-0.8813718468582912	0.0	-0.5564480992021347	-0.6037763464083091	-0.0590612345241713	-1.7396533646315258	Cystectomy	44
45 TUR	-2.0386449277995906	-1.2835898923777884	-1.7319632750953455	-1.824634355337519	-1.685547967667927	-0.3888985955296117	-0.3221213219559666	0.0	-0.2279765862617776	-0.139086387669592	0.0464153074274185	-0.5410444629597309	TUR	45
45 Cystectomy	-1.994159567808809	-2.358392411969529	-1.8894242172887965	-2.844934740714757	-1.950502073255312	-0.1967930875809449	-0.4888837106781608	0.0	-0.4384393814255758	-0.8944326674594452	-0.0610778559665152	-0.4865423287452277	Cystectomy	45
46 TUR	-2.4634329035038647	-1.6655702409464423	-0.9548410741422	-1.7888530646335845	-0.8548121474889039	-0.2169697549606025	-0.994372092446291	0.0	-0.4053558287283263	-0.9340409171446804	0.1000289266532959	-0.1232828236871419	TUR	46
46 Cystectomy	-2.185000138850737	-2.1808689924104265	-1.360923629701826	-3.180825254610712	-1.10950698682634	-0.0965964807009219	-1.1913162903687864	0.0	-0.7002249557539227	-2.071318267784372	0.251416642875486	-0.999956262200285	Cystectomy	46
47 TUR	-1.3083013795161664	-1.4349846727010762	-2.310726924632923	-1.6632709176838605	-1.2473094828581326	-0.3979158783760378	-0.3656197944403792	0.0	-0.2218634008073585	-0.4159614348257276	1.0634174417747904	-0.228286244982784	TUR	47
47 Cystectomy	-1.8687650832060736	-1.4544850780241374	-1.9827290610374355	-2.9889404466858784	-1.5185502135142472	-0.3969329980980674	-0.2935318948244849	0.0	-0.2225198370652451	-1.4703902331716314	0.4641788475231883	-1.534455368661741	Cystectomy	47
48 TUR	-2.328256911222268	-1.5691378636763973	-1.4209637704289506	-2.0841903375273567	-1.3376841106863766	-0.1535976381509716	-0.7591186437229612	0.0	-0.5259303816934178	-0.7465062268409803	0.0832796597425739	-0.5150524738509596	TUR	48
48 Cystectomy	-2.703791842780676	-1.4453892738083394	-1.2748782655545556	-2.004978935383213	-1.3240062034750542	-0.3019707863784678	-0.4524066775672563	0.0	-0.3000881385668759	-0.6809727319081593	-0.0491279379204985	-0.5595896615748741	Cystectomy	48
5 TUR	-1.9748815773485784	-1.2364628848824952	-1.8343944516601451	-1.9673759085238596	-1.4307152207212777	-0.3690354796963969	-0.35512035048635	0.0	-0.2422329797751318	-0.5366606878025816	0.4036792309388677	-0.730913023641364	TUR	5
5 Cystectomy	-2.788628829450297	-2.290748057469054	-1.2525501709302176	-2.206764553399428	-1.9894621880676864	-0.3522302194791799	-0.3219349774820617	0.0	-0.2552334043732177	-0.2173023653317412	-0.736912017137469	0.0839835040696265	Cystectomy	5
50 TUR	-1.625617618860676	-1.4780130885950284	-1.3149558837794444	-2.278696737518129	-1.4785072314223735	-0.3987337144274305	-0.3401886289973436	0.0	-0.2213183135419849	-0.8001895060957548	-0.1635513476429294	-0.8006836489231002	TUR	50
50 Cystectomy	-1.2958129006943175	-1.294409316079596	-1.7036777507968797	-2.5083047354026315	-0.7738532367318569	-0.9240978386049272	-0.2303721235618082	0.0	-0.0550704438996539	-1.7344514986707749	0.9298245140650224	-1.2138954193230358	Cystectomy	50
52 TUR	-2.1267376435691334	-1.0704686767773146	-1.0148439416098274	-2.6015391206455782	-1.3021482551829562	-0.3513921561456797	-0.5040741999461982	0.0	-0.2559013581510619	-1.299390865462622	-0.2873043135731288	-1.5310704438682636	TUR	52
52 Cystectomy	-2.193840012599141	-1.969950607190424	-1.3924691945641123	-2.4794411550534075	-1.597811986041092	-0.3557453893581644	-0.3251308305897797	0.0	-0.2524422685261668	-0.8816291690123155	-0.2053427914769798	-0.5094905478629841	Cystectomy	52
53 TUR	-3.637489729512511	-2.282102071525937	-2.25929377903623	-3.688642251959892	-2.228120259059691	-0.237969835884636	-0.3926081243285105	0.0	-0.3748013852108142	-1.460521992900201	0.0311735199765389	-1.406540180433955	TUR	53
53 Cystectomy	-2.539896689251943	-1.6933714560968904	-1.188916648554578	-1.9050805743623669	-1.5063988157544193	-0.5301599793712626	-0.2413957530398336	0.0	-0.1518102278771782	-0.3986817586079477	-0.3174821671998412	-0.2117091182654764	Cystectomy	53
54 TUR	-2.0816589644650176	-1.605596071552248	-1.7473392504060683	-1.9867212054914627	-2.010285807990273	-0.1931895533085055	-0.5405655355156737	0.0	-0.4448187281297479	0.0235646024988108	-0.2629465575842051	-0.3811251339392149	TUR	54
54 Cystectomy	-2.390974185969407	-1.6236147301139134	-1.793642256746235	-1.6566187490892657	-1.1285390853275583	-0.5249115405678881	-0.2509921280519545	0.0	-0.1540312440114633	-0.5280796637617073	0.6651031714186764	-0.0330040189753522	Cystectomy	54
55 TUR	-2.8449515806247527	-1.7088615395725169	-1.9041011324155035	-2.113758359180392	-1.9310390511136597	-0.1420209066814745	-0.6457229356214917	0.0	-0.5545021702986069	-0.1827193080667325	-0.0269379186981558	-0.4048968196078751	TUR	55
55 Cystectomy	-2.475285975889536	-1.9799742233455344	-1.5669571499569692	-1.9874810994894183	-1.6423243811489665	-0.1920258060573045	-0.5476673513542664	0.0	-0.446903924529029	-0.3451567183404517	-0.0753672311919974	-0.0075068761438842	Cystectomy	55
56 TUR	-1.4758175439276846	-1.206404907449397	-1.670067002895506	-1.9690178827253395	-1.164206206905995	-0.3741246429108836	-0.4187760468001363	0.0	-0.2384776682124306	-0.8048116758193444	0.505860795989511	-0.7626129752759425	TUR	56
56 Cystectomy	-1.483716119130777	-1.3112639799245118	-2.1308242028328026	-3.171948224523194	-1.189446241527661	-0.5536012327670228	-0.2470942690498488	0.0	-0.1423712123600894	-1.9825019829955328	0.9413779613051416	-1.8606842445986815	Cystectomy	56
57 TUR	-2.197547935700998	-1.4611730428854457	-1.5132824455716134	-1.6190822940584164	-2.1789286643772505	-0.2506671109231957	-0.4732994152650694	0.0	-0.3580061775870502	0.5598463703188342	-0.6656462188056371	-0.1579092511729708	TUR	57
57 Cystectomy	-2.247831926522208	-1.3272776400503734	-1.4056504333314606	-2.4221770807745115	-1.3566987672975968	-0.391548307435322	-0.3426603526099762	0.0	-0.2261615171972951	-1.0654783134769148	0.0489516660338636	-1.0948994407241384	Cystectomy	57
58 TUR	-2.253569039876122	-2.160330391094743	-2.058163490564488	-2.047248501391337	-1.6713374026776795	-0.0904786689397603	-0.8646474363605614	0.0	-0.725682969360887	-0.3759110987136572	0.3868260878868079	0.1130818897034057	TUR	58
58 Cystectomy	-2.7397967777630727	-1.818743333460807	-2.131726324428965	-2.035431741540348	-1.7640855903558488	-0.1064528823808597	-0.7783516317218776	0.0	-0.6627605028246935	-0.2713461511844987	0.3676407340731162	-0.2166884080795405	Cystectomy	58
59 TUR	-2.2366760318282664	-1.3514221022129904	-2.2220258209217687	-2.467826701663653	-1.8065638610690304	-0.1863208613327527	-0.5629587814828211	0.0	-0.4573504303022743	-0.6612628405946228	0.4154619598527381	-1.1164045994506628	TUR	59
59 Cystectomy	-2.562298347591887	-1.9240161769394664	-1.343814875935854	-3.080862324278621	-2.163358811477723	-0.1158574653412122	-0.7785462131833428	0.0	-0.6304961175758114	-0.9175035128008984	-0.8195439355418686	-1.1568461473391547	Cystectomy	59
6 TUR	-1.511405099008457	-1.3297380396258622	-1.5039416450588363	-1.987979211001384	-1.0320993971462475	-0.2236823950862753	-0.7201318997317987	0.0	-0.3951935013905292	-0.9558798138551368	0.4718422479125889	-0.658241171375522	TUR	6
6 Cystectomy	-1.7359900364127538	-1.616450276971452	-1.108144142448025	-1.8860495134336308	-1.253544093323994	-0.3369569280586379	-0.4554129894051413	0.0	-0.267848544282267	-0.6325054201096366	-0.1453999508759692	-0.2695992364621787	Cystectomy	6
60 TUR	-1.7051630633028696	-1.9315954383890523	-1.5283884138907502	-2.478553010909636	-2.3092797016404227	-0.1435734339791144	-0.6728171981702956	0.0	-0.5504731728649138	-0.169273309269213	-0.7808912877496725	-0.5469575725205833	TUR	60
60 Cystectomy	-3.1256094276623894	-2.2577674003442083	-2.211738010896336	-3.1015076450101997	-2.299376126537747	-0.1707405803499375	-0.5130731847672156	0.0	-0.4880231760294155	-0.8021315184724522	-0.0876381156414109	-0.8437402446659908	Cystectomy	60
61 TUR	-1.8589577123057448	-1.9901274665870927	-1.6757081528050934	-1.9563319631793887	-2.1994667905807144	-0.1816263816051348	-0.5539402988932525	0.0	-0.466245731295359	0.2431348274013252	-0.5237586377756209	0.0337955034077035	TUR	61
61 Cystectomy	-2.062605130758023	-1.688350904085737	-1.818634482533085	-2.4133049076479445	-1.7028967910220876	-0.22239344864342	-0.4778548278287927	0.0	-0.397117821629995	-0.7104081166258569	0.1157376915109972	-0.7249540035622075	Cystectomy	61
62 TUR	-1.571075496361555	-1.456176198863212	-1.0413935350953194	-1.681170698394644	-1.5040880075213623	-0.2219221336466361	-0.7094937558491944	0.0	-0.3978278315741449	-0.1770826908732818	-0.4626944724260429	-0.2249944995314319	TUR	62
62 Cystectomy	-1.587208529493217	-1.666902822832525	-1.133796316820098	-1.9262602142297167	-1.380277569503464	-0.0878006252960614	-2.054194097067376	0.0	-0.7373752012142981	-0.5459826447262528	-0.2464812526833658	-0.2593573913971914	Cystectomy	62
63 TUR	-2.614568442125111	-1.8460516734281072	-1.6486707483733714	-1.7859710509210438	-2.011256520031378	-0.3567901338897377	-0.3053711525260015	0.0	-0.2516169400259214	0.2252854691103341	-0.3625857716580065	0.0600806225070633	TUR	63
63 Cystectomy	-2.037601921058435	-1.785595403298056	-1.3788082220049849	-1.7646960459158725	-1.1685984153414024	-0.2599214989265496	-0.5257948759400394	0.0	-0.3464394260066806	-0.5960976305744697	0.2102098066635823	0.0208993573821835	Cystectomy	63
64 TUR	-3.795832815982601	-2.003441126484347	-2.420773407897432	-2.3116673291448224	-2.3982207004797087	-0.0451716247933663	-1.1188977591770797	0.0	-1.0052953905841044	0.0865533713348861	0.0225527074177234	-0.3082262026604755	TUR	64
64 Cystectomy	-3.275971402169872	-2.23221198373254	-1.9918387039979264	-3.4840648295777084	-2.442788281465744	-0.0437110032995517	-1.123543808171376	0.0	-1.01886136724581	-1.0412765481119646	-0.4509495774678177	-1.2518528458451688	Cystectomy	64
65 TUR	-2.477666465259486	-1.5366536977393142	-1.787944046249463	-1.6359877206673643	-1.5640726918882129	-0.1784864780662718	-0.6235406997034568	0.0	-0.4723637210102009	-0.0719150287791516	0.2238713543612498	-0.0993340229280504	TUR	65
